onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2019,.0083848387,.99997461,.13026692,.0029077213,.8955065,.4070344,.93653101,1,.0033874675,.99999934,.12278176,.0019541567,.86300886,.070776291,1,1,.99484038,.99473643
"11-1011.03",2019,.0083848387,.94818902,.99968255,.0280749,.00016633084,.059671834,.087534875,1,.0033874675,.98973763,.99935293,.02074763,4.4927322e-15,.00093523157,1.1381234e-11,1,.99484038,.99473643
"11-1021.00",2019,.56870657,.34488082,.62714523,.28500402,.90816468,.96258557,.50099999,.88835871,.52820325,.52435446,.57335991,.24443203,.9089365,.9840132,.050000001,.55959284,.93746388,.93625277
"11-2011.00",2019,.031106135,.99960518,.080017693,.015699646,.79575437,.75617242,.93653101,.10743087,.015480727,.9999792,.077654786,.011304944,.33324987,.55259848,1,.01987141,.94993734,.94900358
"11-2021.00",2019,.032796998,.99995041,.13026692,.0015171175,.78711009,.62848055,.93653101,.10743087,.016467171,.99999845,.12278176,.00099385134,.29694599,.28729552,1,.01987141,.97949243,.9790169
"11-2022.00",2019,.029072899,.14612982,.99921471,.57030267,.00023497388,.32365653,.57691997,.00012429751,.014307325,.21108358,.99849111,.53013968,1.3643991e-14,.037639402,.50099999,.000022857508,.97949243,.9790169
"11-2031.00",2019,.032093812,.9998489,.10704726,.005119097,.77978969,.81347424,.93653101,.10743087,.016055787,.9999938,.10205597,.0035187711,.26882395,.69868207,1,.01987141,.94673371,.94565845
"11-3011.00",2019,.57694364,.43741846,.65206921,.19991623,.88723314,.86733025,.50099999,.88835871,.53782278,.64311022,.59790051,.16609159,.82717407,.83045971,.050000001,.55959284,.89694065,.89517409
"11-3021.00",2019,.055578478,.98052144,.0548345,.3347989,.88300741,.63582128,.93653101,.42044017,.03056518,.9971109,.054508425,.29186854,.80723232,.29938364,1,.10668959,.9865225,.98618728
"11-3031.01",2019,.0083848387,.99920565,.99968255,.00047181986,.00023497388,.0001479591,.087534875,1,.0033874675,.99994981,.99935293,.00029536069,1.3643991e-14,1.2834608e-08,1.1381234e-11,1,.97113043,.97055608
"11-3031.02",2019,.01758128,.99993366,.10395391,.004176917,.82123339,.4070344,.99616963,.99149191,.0079742372,.99999779,.099280573,.0028478226,.45911789,.070776291,1,.94732016,.97113043,.97055608
"11-3051.00",2019,.31736174,.7496419,.013075978,.70779002,.92221534,.81025964,.93653101,.82816219,.25276133,.90787059,.014280682,.678195,.9470427,.69043368,1,.43646413,.96750903,.96675605
"11-3051.01",2019,.49165654,.71403831,.019342497,.541619,.89117181,.78749955,.93653101,.86193824,.43956742,.88685864,.020586044,.50099999,.84478265,.63186383,1,.50099999,.96750903,.96675605
