onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2015,.0083848387,.99997461,.13026692,.0029077213,.1845825,.98346096,.65787643,1,.013389354,.99996877,.16005553,.0047273212,.80842328,.99999815,.92819488,1,.99730825,.9966473
"11-1011.03",2015,.0083848387,.94818902,.99968255,.0280749,4.7661452e-08,.67602319,.059143599,1,.013389354,.93548912,.99999195,.03805409,1.7399492e-13,.020850427,.35067713,1,.99730825,.9966473
"11-1021.00",2015,.56870657,.34488082,.62714523,.28500402,.10338553,.99995273,.005091493,.99936873,.58546925,.29198492,.83133739,.30922398,.52186179,1,.050000001,.50099999,.94231755,.93163818
"11-2011.00",2015,.016745282,.9995814,.14374733,.021295395,.37623292,.85832006,.65787643,.98844659,.025191568,.99948001,.18177567,.029544586,.96784449,.82919723,.92819488,.0002122716,.88616735,.87129903
"11-2021.00",2015,.032796998,.99995041,.13026692,.0015171175,.070665039,.99152464,.65787643,.95899916,.046432681,.99993879,.16005553,.0025930605,.32143733,.99999994,.92819488,4.9491773e-06,.96738464,.96081132
"11-2022.00",2015,.0083848387,.0045302818,.99999702,.89068013,1.4781889e-08,.99152464,.00012812154,1,.013389354,.0034986418,1,.87927699,1.6644286e-14,.99999994,.0017138086,1,.96738464,.96081132
"11-2031.00",2015,.031755969,.99973983,.09709546,.0092449272,.067331634,.99895996,.65787643,.95899916,.045093771,.9996773,.1087634,.013727806,.29917669,1,.92819488,4.9491773e-06,.94092035,.92992568
"11-3011.00",2015,.016293911,.99955595,.088116184,.030550919,.40210959,.93799448,.65787643,.98844659,.02457148,.9994483,.095586151,.041112453,.97398627,.99805665,.92819488,.0002122716,.82458919,.80123633
"11-3021.00",2015,.015887637,.96423817,.0548345,.75674641,.58260006,.59844184,.65787643,.98844659,.024011958,.95534003,.050524771,.74943602,.99385828,.0038196025,.92819488,.0002122716,.97925025,.97430778
"11-3031.01",2015,.0083848387,.99920565,.99968255,.00047181986,5.4459002e-09,7.3725842e-06,.059143599,1,.013389354,.99901128,.99999195,.00088154228,2.2485390e-15,3.6109516e-30,.35067713,1,.9587763,.95129806
"11-3031.02",2015,.01758128,.99993366,.10395391,.004176917,.42334515,.92842364,.94383287,.98844659,.026335916,.99991804,.11905802,.0066026445,.97808528,.99575585,.98976439,.0002122716,.9587763,.95129806
"11-3051.00",2015,.31736174,.7496419,.013075978,.70779002,.079811722,.81626385,.65787643,.99912715,.35120642,.70227534,.0072485646,.70355356,.38146538,.50099999,.92819488,.28095558,.94366074,.93155867
"11-3051.01",2015,.49165654,.71403831,.019342497,.541619,.15619837,.67053956,.65787643,.99936873,.51502979,.66283351,.012315395,.55001551,.73816931,.018409749,.92819488,.50099999,.94366074,.93155867
