onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2018,.0083848387,.99997461,.13026692,.0029077213,.68872094,.44137752,.90217686,1,.0069286856,.99997562,.12514645,.0023319689,.84368908,.11773075,.997688,1,.99365938,.99463832
"11-1011.03",2018,.0083848387,.94818902,.99968255,.0280749,.000025225647,.10478612,.065803215,1,.0069286856,.94901514,.99948531,.024427805,2.8077255e-15,.0029668419,.0008523576,1,.99365938,.99463832
"11-1021.00",2018,.56870657,.34488082,.62714523,.28500402,.74588752,.95659512,.24544387,.53772914,.55323023,.346389,.59090459,.27428058,.92823529,.99019367,.050000001,.69654185,.93095267,.94156969
"11-2011.00",2018,.031106135,.99960518,.080017693,.015699646,.48748305,.6000824,.90217686,7.6700726e-06,.026680257,.99961734,.078407228,.013367377,.2840625,.32372841,.997688,8.1413515e-07,.91951245,.92944634
"11-2021.00",2018,.032796998,.99995041,.13026692,.0015171175,.46876463,.50791633,.90217686,7.6700726e-06,.028175861,.9999522,.12514645,.0011896206,.2393259,.18514875,.997688,8.1413515e-07,.97406232,.9787429
"11-2022.00",2018,.029072899,.14612982,.99921471,.57030267,.000028908984,.30605105,.50701219,7.4874520e-13,.024885504,.14655638,.99877679,.56732351,4.2793345e-15,.040103029,.53917938,1.5229876e-15,.97406232,.9787429
"11-2031.00",2018,.032093812,.9998489,.10704726,.005119097,.46273938,.73706937,.90217686,7.6700726e-06,.027553547,.99985397,.10363739,.0041873911,.22596253,.62435091,.997688,8.1413515e-07,.93193239,.94238067
"11-3011.00",2018,.57694364,.43741846,.65206921,.19991623,.67892647,.83784348,.24544387,.53772914,.56174731,.43933824,.61564648,.18907817,.82431477,.84888804,.050000001,.69654185,.86475861,.8827213
"11-3021.00",2018,.055578478,.98052144,.0548345,.3347989,.68404901,.59701735,.90217686,.001143129,.048554793,.98089743,.054613035,.32479313,.83463347,.31819162,.997688,.00041387987,.97881758,.98259515
"11-3031.01",2018,.0083848387,.99920565,.99968255,.00047181986,.000028908984,.000097380893,.065803215,1,.0069286856,.99922854,.99948531,.00035541027,4.2793345e-15,2.1856641e-09,.0008523576,1,.96513247,.97060543
