onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"49-9094.00",2017,.91467321,2.6928915e-06,.99995983,.9815346,8.6133205e-06,.00047992237,.00386674,.017126322,.91635174,2.6928915e-06,.99997073,.98400217,1.0619041e-12,.00057262892,.000095723444,.29570121,.09360484,.097649671
"49-9095.00",2017,.3419497,.087726437,.78728539,.76819885,.078394167,.027793562,.080728903,.02269003,.34060338,.087726437,.79405349,.77925289,.62702578,.64916486,.050000001,.37928933,.09360484,.097649671
"49-9096.00",2017,.61905056,.10253511,.53379261,.63867909,.13275188,.0030689419,.086024396,.050000001,.62009746,.10253511,.53484523,.64885938,.91001332,.022075444,.057096224,.64053702,.09360484,.097649671
"49-9097.00",2017,.45950294,.050000001,.7234118,.81795055,.096000306,.0047013084,.080728903,.032729276,.4591341,.050000001,.72938293,.82846034,.76801538,.050000001,.050000001,.50099999,.09360484,.097649671
"49-9098.00",2017,.74455702,.011826524,.76697582,.84113711,.065246448,.0047013084,.080728903,.0035478866,.74641395,.011826524,.77356315,.85117459,.47890365,.050000001,.050000001,.050000001,.09360484,.097649671
"49-9099.01",2017,.43670267,.13154656,.65206921,.67572564,.066950649,.027793562,.080728903,.032729276,.4361299,.13154656,.65650928,.68643427,.49997079,.64916486,.050000001,.50099999,.09360484,.097649671
"51-1011.00",2017,.43670267,.20716181,.65206921,.55080998,.13978955,.022287341,.080728903,.032729276,.4361299,.20716181,.65650928,.55907905,.92389196,.54181921,.050000001,.50099999,.40874597,.42541507
"51-2011.00",2017,.55244875,.077604488,.57637632,.73802227,.1257837,.0047013084,.080728903,.050000001,.55292499,.077604488,.57872403,.74913722,.89327979,.050000001,.050000001,.64053702,.1889769,.19785035
"51-2021.00",2017,.62762398,.087726437,.30620968,.76819885,.10364459,.027793562,.55077446,.050000001,.62873948,.087726437,.30080679,.77925289,.8110829,.64916486,.91595393,.64053702,.062626705,.065266766
"51-2022.00",2017,.5707593,.026693102,.29950854,.93446296,.042640541,.0047013084,.6740343,.032729276,.57139784,.026693102,.29396787,.94070184,.18900388,.050000001,.96911067,.50099999,.062626705,.065266766
"51-2023.00",2017,.68838543,.22606216,.031981152,.77034563,.071677767,.0024459667,.75246763,.050000001,.68993872,.22606216,.028841624,.7813881,.5557068,.014191608,.98559207,.64053702,.062626705,.065266766
"51-2031.00",2017,.45950294,.050000001,.7234118,.81795055,.10108671,.0047013084,.080728903,.032729276,.4591341,.050000001,.72938293,.82846034,.79770988,.050000001,.050000001,.50099999,.12214661,.12797339
"51-2041.00",2017,.71360123,.06907966,.67650503,.56834894,.12504172,.022287341,.080728903,.0035478866,.71530509,.06907966,.68152982,.57706183,.89129424,.54181921,.050000001,.050000001,.10163146,.10634197
"51-2091.00",2017,.44417608,.27803436,.67650503,.43568465,.12213714,.053055417,.080728903,.032729276,.44366968,.27803436,.68152982,.44052833,.88310105,.8749817,.050000001,.50099999,.052153539,.054240957
