onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2015,.0083848387,.99997461,.13026692,.0029077213,.75182712,.5138014,.70799327,1,.013389354,.99996877,.16005553,.0047273212,.88174522,.4362303,.9677788,1,.99730825,.9966473
"11-1011.03",2015,.0083848387,.94818902,.99968255,.0280749,.000027315529,.13827929,.011285259,1,.013389354,.93548912,.99999195,.03805409,8.0444588e-16,.044347242,.016835758,1,.99730825,.9966473
"11-1021.00",2015,.56870657,.34488082,.62714523,.28500402,.76433241,.97396892,.024906298,.37644079,.58546925,.29198492,.83133739,.30922398,.90246427,.99374676,.050000001,.050000001,.94231755,.93163818
"11-2011.00",2015,.016745282,.9995814,.14374733,.021295395,.51935917,.75177467,.70799327,.991166,.025191568,.99948001,.18177567,.029544586,.22205852,.78840446,.9677788,.79738212,.88616735,.87129903
"11-2021.00",2015,.032796998,.99995041,.13026692,.0015171175,.54953843,.65571237,.70799327,.96748394,.046432681,.99993879,.16005553,.0025930605,.29531586,.65086889,.9677788,.56807494,.96738464,.96081132
"11-2022.00",2015,.0083848387,.0045302818,.99999702,.89068013,.000029463277,.76126742,.00024534223,1,.013389354,.0034986418,1,.87927699,1.0222015e-15,.80095571,.00008110542,1,.96738464,.96081132
"11-2031.00",2015,.031755969,.99973983,.09709546,.0092449272,.57003164,.88273972,.70799327,.96748394,.045093771,.9996773,.1087634,.013727806,.35286692,.93551368,.9677788,.56807494,.94092035,.92992568
"11-3011.00",2015,.016293911,.99955595,.088116184,.030550919,.69010508,.8157208,.70799327,.991166,.02457148,.9994483,.095586151,.041112453,.73788071,.8678301,.9677788,.79738212,.82458919,.80123633
"11-3021.00",2015,.015887637,.96423817,.0548345,.75674641,.72496283,.38510743,.70799327,.991166,.024011958,.95534003,.050524771,.74943602,.82758468,.2616401,.9677788,.79738212,.97925025,.97430778
"11-3031.01",2015,.0083848387,.99920565,.99968255,.00047181986,.000034163411,.00083545735,.011285259,1,.013389354,.99901128,.99999195,.00088154228,1.6330030e-15,.000018121267,.016835758,1,.9587763,.95129806
"11-3031.02",2015,.01758128,.99993366,.10395391,.004176917,.61940229,.53216773,.97254366,.991166,.026335916,.99991804,.11905802,.0066026445,.51061243,.46342623,.99920827,.79738212,.9587763,.95129806
"11-3051.00",2015,.31736174,.7496419,.013075978,.70779002,.81675631,.55651259,.70799327,.95438468,.35120642,.70227534,.0072485646,.70355356,.96199125,.50099999,.9677788,.49580628,.94366074,.93155867
"11-3051.01",2015,.49165654,.71403831,.019342497,.541619,.72867894,.40454885,.70799327,.95526099,.51502979,.66283351,.012315395,.55001551,.83587366,.28577888,.9677788,.50099999,.94366074,.93155867
"11-3051.02",2015,.046526045,.91236949,.76697582,.2542676,.69413155,.67594463,.024906298,.9654358,.063721873,.89171523,.92400515,.2792578,.74928194,.68105841,.050000001,.55522668,.94366074,.93155867
"11-3051.04",2015,.46735534,.69029033,.042321231,.48743054,.7317276,.43759754,.2775723,.95526099,.49263784,.63691044,.035587456,.50099999,.84248281,.32882625,.69729018,.50099999,.94366074,.93155867
"11-3061.00",2015,.0083848387,.99980599,.99968255,.0001197736,.000051725889,5.9444658e-09,.011285259,1,.013389354,.99975955,.99999195,.00024830006,6.0697089e-15,3.7381423e-13,.016835758,1,.95612377,.94668204
"11-3071.01",2015,.015382799,.99870348,.083962291,.088502862,.63446778,.83221537,.94382781,.991166,.023314817,.99838382,.089617126,.1082003,.56127614,.88612753,.99776417,.79738212,.87995732,.8596651
