onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2016,.0083848387,.99997461,.13026692,.0029077213,.58522606,.98589385,.8098492,1,.01287927,.99996603,.13191733,.0031728719,.80847514,.99989307,.98787141,1,.99744183,.99723816
"11-1011.03",2016,.0083848387,.94818902,.99968255,.0280749,6.0317426e-08,.73034281,.1181493,1,.01287927,.93843764,.99989361,.029860191,1.7575076e-16,.5768702,.50099999,1,.99744183,.99723816
"11-1021.00",2016,.56870657,.34488082,.62714523,.28500402,.50218099,.99983579,.013062233,.50099999,.57837313,.31560811,.68926752,.29238969,.6669153,1,.050000001,.50099999,.93997806,.93662721
"11-2011.00",2016,.016745282,.9995814,.14374733,.021295395,.80756497,.47964692,.8098492,.99780643,.024276357,.99946153,.14708498,.022725515,.97942865,.067925714,.98787141,1,.89802045,.89359844
"11-2021.00",2016,.032796998,.99995041,.13026692,.0015171175,.41100004,.99694121,.8098492,7.0737762e-13,.044840716,.9999342,.13191733,.0016670099,.46879295,.99999839,.98787141,0,.97281867,.97111702
"11-2022.00",2016,.029072899,.14612982,.99921471,.57030267,3.3101038e-08,.32443336,.050000001,1.1000509e-27,.040178116,.13218874,.99970961,.57601631,4.6303360e-17,.012238881,.23352484,0,.97281867,.97111702
"11-2031.00",2016,.031755969,.99973983,.09709546,.0092449272,.39835754,.9997552,.8098492,7.0737762e-13,.043542814,.99966305,.095232725,.0099611189,.43988013,1,.98787141,0,.9416436,.93839198
"11-3011.00",2016,.016293911,.99955595,.088116184,.030550919,.82800841,.7512393,.8098492,.99780643,.023676954,.99942929,.085498378,.032459714,.98475736,.64697963,.98787141,1,.83681577,.82984734
"11-3021.00",2016,.055578478,.98052144,.0548345,.3347989,.80435044,.025474994,.8098492,1.9588268e-07,.072392471,.97637683,.050432097,.34230542,.97848761,4.5482439e-06,.98787141,2.5626328e-23,.98088145,.97947729
"11-3031.01",2016,.0083848387,.99920565,.99968255,.00047181986,3.3101038e-08,.000056464149,.1181493,1,.01287927,.99898756,.99989361,.00052488112,4.6303360e-17,2.5964617e-13,.50099999,1,.96154749,.95948476
"11-3031.02",2016,.01758128,.99993366,.10395391,.004176917,.79119498,.96159637,.96888709,.99780643,.025382686,.99991238,.10273027,.0045400173,.97432101,.99826288,.99902356,1,.96154749,.95948476
"11-3051.00",2016,.31736174,.7496419,.013075978,.70779002,.42984152,.70730031,.8098492,.1826081,.34411442,.71902192,.010228825,.71130311,.5117268,.50099999,.98787141,.0063837157,.95153213,.94828665
"11-3051.01",2016,.49165654,.71403831,.019342497,.541619,.41121867,.51272374,.8098492,.50099999,.50758535,.68147725,.015809206,.54771328,.46929288,.094549842,.98787141,.50099999,.95153213,.94828665
"11-3051.02",2016,.046526045,.91236949,.76697582,.2542676,.16007416,.88625568,.013062233,2.6215739e-07,.06161787,.89735144,.8235817,.26146385,.046978872,.96013039,.050000001,6.8381335e-23,.95153213,.94828665
"11-3051.03",2016,.6105212,.7960273,.042321231,.24234781,.33286908,.99868423,.51110023,.50099999,.61669081,.76866674,.037794232,.24944486,.29513913,.99999982,.93171287,.50099999,.95153213,.94828665
"11-3051.04",2016,.46735534,.69029033,.042321231,.48743054,.27380311,.40364382,.51110023,.50099999,.48514417,.65669036,.037794232,.49414074,.18341975,.030522868,.93171287,.50099999,.95153213,.94828665
"11-3051.06",2016,.1246692,.57287443,.65206921,.55080998,.16815807,.59810442,.013062233,.0052423654,.14986387,.53690803,.7143451,.556786,.053205203,.21127613,.050000001,2.1255845e-08,.95153213,.94828665
"11-3061.00",2016,.0083848387,.99980599,.99968255,.0001197736,7.6312809e-08,2.9537076e-12,.1181493,1,.01287927,.99974763,.99989361,.00013517836,2.9646577e-16,4.2399585e-33,.50099999,1,.95797139,.95537293
"11-3071.01",2016,.015382799,.99870348,.083962291,.088502862,.23301472,.97002804,.59438699,.99780643,.022462396,.99835914,.081029303,.092685498,.12202547,.99913436,.95447445,1,.88119006,.87505323
"11-3071.02",2016,.93339294,.000042503976,.99998474,.63073051,3.7377145e-08,.90910965,.0006273145,.2943629,.9237923,.000042562435,.9999963,.63554078,6.0659894e-17,.97937006,.0010881339,.050000001,.88119006,.87505323
"11-3071.03",2016,.041340418,.99901342,.99961114,.0001403045,1.3716212e-07,2.9537076e-12,.091243692,1.1000509e-27,.055349272,.99874645,.99986678,.00015808696,1.0914431e-15,4.2399585e-33,.40928221,0,.88119006,.87505323
"11-3111.00",2016,.0083848387,.99967897,.99791169,.00052035024,2.9846369e-08,.000056464149,.51110023,1,.01287927,.99958551,.99914068,.00057827216,3.6786955e-17,2.5964617e-13,.93171287,1,.96431357,.96244907
"11-3121.00",2016,.0083848387,.9986186,.9998641,.00052035024,2.0729350e-07,.000056464149,.1181493,1,.01287927,.99825329,.99995846,.00057827216,2.7332400e-15,2.5964617e-13,.50099999,1,.94549519,.94231707
"11-3131.00",2016,.031426851,.95990348,.99791169,.016486529,7.6312809e-08,1.5541425e-06,.1181493,1.1000509e-27,.04313162,.95207214,.99914068,.017646866,2.9646577e-16,1.4938526e-17,.50099999,0,.95114881,.9482736
"11-9013.01",2016,.39452329,.2801578,.50099999,.57588804,.28124374,.70730031,.013062233,.50099999,.41732055,.25506052,.55486119,.5815236,.19609937,.50099999,.050000001,.50099999,.64332944,.63447589
"11-9013.02",2016,.40807837,.22268912,.55080992,.60944217,.43806157,.70730031,.013062233,.50099999,.43002123,.20200057,.60977978,.61458468,.53028888,.50099999,.050000001,.50099999,.64332944,.63447589
"11-9013.03",2016,.96427691,.000010875788,.99994534,.87083155,5.1123813e-08,.0018675936,.0006273145,.2943629,.95686841,.000011103535,.99998486,.87153995,1.2168894e-16,3.5134466e-09,.0010881339,.050000001,.64332944,.63447589
"11-9021.00",2016,.51703954,.044971567,.99976522,.079634324,7.6312809e-08,.013292147,.016669782,.00024703503,.53095448,.040939782,.99992388,.083528683,2.9646577e-16,7.5066833e-07,.067259125,7.1095284e-13,.87207568,.86593211
"11-9031.00",2016,.58005011,.98523211,.045634884,.021398647,.13582921,.9392491,.8098492,.50099999,.58876908,.98200095,.041104149,.022834383,.031120354,.99359077,.98787141,.50099999,.735241,.72908616
"11-9032.00",2016,.67095387,.97854185,.026935883,.028345359,.29167858,.98994023,.8098492,.50099999,.6721648,.97402269,.02285303,.030144291,.21460879,.9999578,.98787141,.50099999,.735241,.72908616
"11-9033.00",2016,.016745282,.99989164,.14374733,.0058095939,.55898201,.99940914,.8098492,.99780643,.024276357,.9998579,.14708498,.0062919473,.76883882,1,.98787141,1,.735241,.72908616
"11-9039.01",2016,.0083848387,.97248155,.99929947,.022467529,1.2345383e-07,1.5541425e-06,.1181493,1,.01287927,.96684569,.99974418,.023961,8.6367392e-16,1.4938526e-17,.50099999,1,.735241,.72908616
"11-9039.02",2016,.97825199,.00022269944,.97533613,.84298384,5.1123813e-08,.13035919,.050000001,.2943629,.97262067,.0002178242,.98656648,.84413201,1.2168894e-16,.00052331336,.23352484,.050000001,.735241,.72908616
"11-9041.00",2016,.016209269,.99857014,.080017693,.094538249,.46520701,.96110725,.8098492,.99780643,.023564385,.99819297,.076806948,.098907262,.59025282,.99819976,.98787141,1,.99197972,.99130839
"11-9041.01",2016,.5345313,.67267138,.029335337,.49334988,.83412158,.32443336,.8098492,.50099999,.54702556,.63842797,.02513025,.50099999,.98614419,.012238881,.98787141,.50099999,.99197972,.99130839
"11-9051.00",2016,.43670267,.69821715,.011255844,.67572564,.25385907,.70730031,.8098492,.50099999,.4567169,.66494179,.0086591095,.67979318,.15165368,.50099999,.98787141,.50099999,.30570692,.29762802
"11-9061.00",2016,.46735534,.42095143,.74565923,.24234781,.29550922,.99752247,.013062233,.50099999,.48514417,.38796797,.8041662,.24944486,.22161017,.99999911,.050000001,.50099999,.76552594,.75710481
