onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"21-1094.00",2018,.51703954,.13154656,.85750324,.45640871,.59377891,.95548624,.10562037,.55043471,.50099999,.13189664,.83010775,.449523,.34140092,.99151438,.050000001,.99999559,.1479433,.16058044
"21-2011.00",2018,.029072899,.99295539,.12001823,.18278116,.50454932,.59264076,.69882381,7.0387262e-13,.024885504,.99311352,.11566766,.17213151,.19757681,.89442551,.50710267,9.4326076e-16,.21562065,.23510031
"21-2021.00",2018,.029901536,.99953109,.0548345,.023606034,.45911658,.99996042,.9790796,7.0387262e-13,.02561645,.99954528,.054613035,.020405333,.14472337,.9999913,.95379764,9.4326076e-16,.20495974,.22158116
"23-1011.00",2018,.016651051,.99962944,.040949374,.038064402,.40769053,.0040801587,.92281306,4.7750000e-28,.014023185,.99964088,.041311983,.033510372,.098999791,.026895419,.84091884,0,.87199789,.88304657
"23-1012.00",2018,.018737694,.9999575,.079168461,.0029813345,.90753192,.99640059,.92560399,.99903715,.015833715,.99995905,.07761012,.0023930853,.96322292,.99929297,.8461684,1,.87199789,.88304657
"23-1021.00",2018,.016209269,.99960518,.025389446,.052863762,.35061815,.04945961,.98233277,.99903715,.013640729,.99961734,.026165705,.047150027,.062472355,.24776728,.96081376,1,.85539848,.86838341
"23-1022.00",2018,.0083848387,.99944878,.99906999,.00057804596,1.2080684e-06,.000011968024,.65691465,1,.0069286856,.99946517,.99856222,.00043847048,1.5314150e-13,.000093443443,.4592444,1,.85539848,.86838341
"23-1023.00",2018,.30966207,.99964833,.023160104,.002349044,.67047864,.99980932,.98233277,.028785501,.29066175,.99965924,.023966528,.0018700152,.5060541,.99995977,.96081376,.99783736,.85539848,.86838341
"23-2011.00",2018,.034732845,.99860126,.068034612,.051018804,.87642068,.0040801587,.98233277,7.0387262e-13,.029891426,.99863923,.067128435,.045439351,.93061417,.026895419,.96081376,9.4326076e-16,.18378381,.20080958
"23-2091.00",2018,.016940137,.93804342,.055345781,.83614725,.96118939,.52640998,.98233277,.99903715,.014273619,.9389894,.05509989,.84073359,.99435896,.86696118,.96081376,1,.3148286,.3381916
"23-2093.00",2018,.075602919,.99713707,.33939204,.017816011,.94922715,.00017654971,.9790796,1.9394543e-07,.066749521,.99720883,.31731126,.015239989,.98997718,.001287244,.95379764,1.0776457e-06,.3148286,.3381916
"25-1011.00",2018,.016745282,.99999273,.14374733,.00042128659,.53328353,.68538302,.9790796,4.7750000e-28,.014104802,.99999303,.13758503,.00031611495,.23787744,.92624426,.95379764,0,.79628468,.81467938
"25-1021.00",2018,.029072899,.99938285,.041691363,.036322445,.53763211,.000090090216,.9790796,7.0387262e-13,.024885504,.99940103,.04202709,.0319185,.24446735,.00066838117,.95379764,9.4326076e-16,.71994191,.7447145
"25-1022.00",2018,.031755969,.99999011,.0091964751,.0013813579,.49501905,.99952036,.98716551,7.0387262e-13,.027254729,.99999052,.0099181542,.001079671,.18542218,.99990118,.97134566,9.4326076e-16,.71994191,.7447145
"25-1031.00",2018,.029342473,.99979758,.13133977,.0065686437,.55022758,.99985713,.93569136,7.0387262e-13,.02512322,.99980414,.12613752,.0054205297,.26429772,.99996966,.86542952,9.4326076e-16,.91814041,.92843568
"25-1032.00",2018,.015887637,.99992794,.0548345,.0071271877,.56259966,.99985713,.9790796,.99903715,.013362488,.9999305,.054613035,.0058984626,.28485784,.99996966,.95379764,1,.91814041,.92843568
"25-1041.00",2018,.44417608,.91206658,.01212614,.31163061,.45888668,.96087176,.9790796,.55043471,.42558014,.91328591,.012917097,.3012405,.14448749,.99255002,.95379764,.99999559,.76701814,.78897756
"25-1042.00",2018,.02880967,.99969918,.03812632,.019450249,.40716398,.010915866,.9790796,7.0387262e-13,.024653453,.99970865,.03858602,.016692005,.098599784,.067711025,.95379764,9.4326076e-16,.76701814,.78897756
"25-1043.00",2018,.029072899,.99938285,.041691363,.036322445,.35882643,.99839151,.9790796,7.0387262e-13,.024885504,.99940103,.04202709,.0319185,.066941261,.99967813,.95379764,9.4326076e-16,.76701814,.78897756
"25-1051.00",2018,.15999906,.99836004,.034901153,.018561922,.5960989,.73083049,.9790796,.0036428673,.14546105,.99840379,.035461057,.015902109,.34587362,.93963486,.95379764,.93401116,.86728001,.88386923
"25-1052.00",2018,.028552575,.99985182,.034901153,.010428336,.38579535,.034243334,.9790796,7.0387262e-13,.024426879,.99985677,.035461057,.008748455,.083412156,.18474983,.95379764,9.4326076e-16,.86728001,.88386923
"25-1053.00",2018,.015887637,.99996138,.0548345,.0038962124,.56953615,.99992949,.9790796,.99903715,.013362488,.99996281,.054613035,.0031567523,.29685444,.99998474,.95379764,1,.86728001,.88386923
"25-1054.00",2018,.032440703,.99875844,.11806978,.035986111,.55563438,9.5100734e-07,.9790796,7.0387262e-13,.027860487,.99879253,.11386309,.031611513,.27315077,7.9122001e-06,.95379764,9.4326076e-16,.86728001,.88386923
"25-1061.00",2018,.016558863,.99999392,.010982117,.0014696979,.73692465,.99952036,.98716551,.99903715,.01394335,.99999416,.011750397,.0011511757,.66434938,.99990118,.97134566,1,.79669291,.8169179
"25-1062.00",2018,.016841622,.99998432,.050000001,.001619156,.24045473,.000026834316,.92281306,4.7750000e-28,.01418826,.99998492,.050000001,.0012724877,.021706456,.00020530012,.84091884,0,.79669291,.8169179
"25-1063.00",2018,.033926006,.99993157,.17500354,.0016740893,.73139,.99640059,.9790796,7.0387262e-13,.029175986,.99993402,.16633305,.0013171759,.65120107,.99929297,.95379764,9.4326076e-16,.79669291,.8169179
"25-1064.00",2018,.031426851,.99998271,.027867753,.0013401855,.68776125,.99640059,.98233277,7.0387262e-13,.026963726,.99998337,.028600471,.0010463987,.54676551,.99929297,.96081376,9.4326076e-16,.79669291,.8169179
"25-1065.00",2018,.017357484,.9999969,.023635443,.00048320222,.68910742,.97825944,.98716551,4.7750000e-28,.014635395,.99999708,.024436194,.00036428191,.54996717,.99585825,.97134566,0,.79669291,.8169179
"25-1066.00",2018,.033163056,.99997199,.045222316,.0015668862,.47828025,.99640059,.98402596,7.0387262e-13,.028500002,.999973,.045422871,.0012300151,.16547215,.99929297,.96448869,9.4326076e-16,.79669291,.8169179
"25-1067.00",2018,.036966793,.99999809,.0021626663,.00052035024,.38172284,.97825944,.95261282,7.0387262e-13,.031875331,.99999815,.0024873754,.00039328501,.0807399,.99585825,.89878947,9.4326076e-16,.79669291,.8169179
"25-1071.00",2018,.58005011,.99563724,.045634884,.0065686437,.36637428,.3618972,.9790796,.55043471,.56496143,.99574131,.045818895,.0054205297,.071267426,.77177018,.95379764,.99999559,.7033065,.72644788
"25-1072.00",2018,.47533259,.91236949,.016490053,.2542676,.54774547,.93283212,.9790796,.55043471,.45730138,.9135859,.017325686,.24332164,.26030216,.98708516,.95379764,.99999559,.7033065,.72644788
"25-1081.00",2018,.033926006,.99993157,.015924182,.006343028,.44398981,6.5315899e-06,.98716551,7.0387262e-13,.029175986,.99993402,.016757315,.0052278875,.12983403,.000051778585,.97134566,9.4326076e-16,.5985561,.62842995
"25-1082.00",2018,.032796998,.99990302,.13026692,.0029077213,.7678622,.99909586,.9790796,7.0387262e-13,.028175861,.99990636,.12514645,.0023319689,.73597515,.99981654,.95379764,9.4326076e-16,.5985561,.62842995
"25-1111.00",2018,.031755969,.99998099,.0091964751,.0026068531,.61283499,.9998396,.98716551,7.0387262e-13,.027254729,.99998176,.0099181542,.002082759,.3791821,.99996603,.97134566,9.4326076e-16,.6445927,.67038178
"25-1112.00",2018,.03515384,.99995261,.075545728,.0018567019,.59989059,.99759334,.98233277,7.0387262e-13,.030264964,.99995434,.074206121,.0014660904,.35326046,.99952292,.96081376,9.4326076e-16,.6445927,.67038178
"25-1113.00",2018,.033926006,.99996561,.17500354,.00085872941,.2541475,.97552866,.9790796,7.0387262e-13,.029175986,.99996686,.16633305,.00066029228,.025169099,.9953416,.95379764,9.4326076e-16,.6445927,.67038178
"25-1121.00",2018,.031426851,.99976796,.027867753,.016486529,.82076752,.0011922221,.98402596,7.0387262e-13,.026963726,.99977541,.028600471,.014062556,.84490329,.0082369661,.96448869,9.4326076e-16,.61900371,.64890993
"25-1122.00",2018,.031106135,.99960518,.080017693,.015699646,.67548102,.054426584,.9790796,7.0387262e-13,.026680257,.99961734,.078407228,.013367377,.51775211,.26655948,.95379764,9.4326076e-16,.61900371,.64890993
