onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2017,.0083848387,.99997461,.13026692,.0029077213,.73261559,.96087176,.84597409,1,.0080294712,.99997461,.12369106,.002511732,.80305719,.99155283,.9934991,1,.99609905,.99647391
"11-1011.03",2017,.0083848387,.94818902,.99968255,.0280749,1.1100899e-07,.33742234,.14824101,1,.0080294712,.94818902,.99975318,.026013752,3.3483834e-16,.34022021,.50099999,1,.99609905,.99647391
"11-1021.00",2017,.56870657,.34488082,.62714523,.28500402,.67325717,.99923205,.022546595,.57760721,.56932706,.34488082,.63093698,.28499377,.68684411,.99996722,.050000001,.50099999,.93743932,.94247311
"11-2011.00",2017,.016745282,.9995814,.14374733,.021295395,.88235402,.018983606,.84597409,.99903715,.016142728,.9995814,.1370189,.01955908,.97331655,.0052618757,.9934991,.99999958,.8911972,.89768302
"11-2021.00",2017,.032796998,.99995041,.13026692,.0015171175,.56767344,.99803239,.84597409,1.0952178e-12,.031829011,.99995041,.12369106,.0012850481,.45138901,.99987733,.9934991,1.4003656e-27,.97416705,.97663325
"11-2022.00",2017,.029072899,.14612982,.99921471,.57030267,5.6376653e-08,.0058077434,.06972108,1.1560765e-27,.028180443,.14612982,.99937183,.5790633,7.6654536e-17,.00098753197,.22661202,0,.97416705,.97663325
"11-2031.00",2017,.032093812,.9998489,.10704726,.005119097,.3670074,.99972463,.84597409,1.0952178e-12,.031139726,.9998489,.10087388,.0044985334,.12198285,.99999219,.9934991,1.4003656e-27,.93883389,.94389868
"11-3011.00",2017,.57694364,.43741846,.65206921,.19991623,.54525954,.98883152,.022546595,.57760721,.57763624,.43741846,.65650928,.19768843,.40306675,.99858809,.050000001,.50099999,.85593098,.86568409
"11-3021.00",2017,.055578478,.98052144,.0548345,.3347989,.88742363,.0043695513,.84597409,2.6042687e-07,.054233741,.98052144,.0504019,.33633932,.97598994,.00066185434,.9934991,1.2057208e-15,.97764665,.97977716
"11-3031.01",2017,.0083848387,.99920565,.99968255,.00047181986,5.6376653e-08,.000021929263,.14824101,1,.0080294712,.99920565,.99975318,.00038588964,7.6654536e-17,3.9650544e-07,.50099999,1,.96470356,.96752858
