onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2019,.0083848387,.99997461,.13026692,.0029077213,.98573399,.0026788041,.99283671,1,.0033874675,.99999934,.12278176,.0019541567,.85644329,.12578358,.94463265,1,.99484038,.99473643
"11-1011.03",2019,.0083848387,.94818902,.99968255,.0280749,8.0455657e-06,5.6273092e-07,.87804258,1,.0033874675,.98973763,.99935293,.02074763,4.5619127e-20,.00057615858,.50099999,1,.99484038,.99473643
"11-1021.00",2019,.56870657,.34488082,.62714523,.28500402,.97868347,.97209328,.25053343,.16076501,.52820325,.52435446,.57335991,.24443203,.64568132,.9856894,.050000001,.50099999,.93746388,.93625277
"11-2011.00",2019,.031106135,.99960518,.080017693,.015699646,.9708854,.16120042,.99283671,.00038435229,.015480727,.9999792,.077654786,.011304944,.41883335,.69929308,.94463265,7.1145149e-07,.94993734,.94900358
"11-2021.00",2019,.032796998,.99995041,.13026692,.0015171175,.98466396,.99769157,.99283671,.00038435229,.016467171,.99999845,.12278176,.00099385134,.82822233,.99719441,.94463265,7.1145149e-07,.97949243,.9790169
"11-2022.00",2019,.029072899,.14612982,.99921471,.57030267,.000013912025,1.4200338e-06,.67360026,2.5060773e-11,.014307325,.21108358,.99849111,.53013968,2.2343663e-19,.0010526604,.23174465,2.9803484e-23,.97949243,.9790169
"11-2031.00",2019,.032093812,.9998489,.10704726,.005119097,.96534628,.99980044,.99283671,.00038435229,.016055787,.9999938,.10205597,.0035187711,.29954758,.99943036,.94463265,7.1145149e-07,.94673371,.94565845
"11-3011.00",2019,.57694364,.43741846,.65206921,.19991623,.97796804,.6520229,.25053343,.16076501,.53782278,.64311022,.59790051,.16609159,.62297946,.91115862,.050000001,.50099999,.89694065,.89517409
"11-3021.00",2019,.055578478,.98052144,.0548345,.3347989,.99568677,.000082870909,.99283671,.11404728,.03056518,.9971109,.054508425,.29186854,.99496138,.014695415,.94463265,.28782374,.9865225,.98618728
"11-3031.01",2019,.0083848387,.99920565,.99968255,.00047181986,.000013912025,1.3266033e-06,.87804258,1,.0033874675,.99994981,.99935293,.00029536069,2.2343663e-19,.0010070419,.50099999,1,.97113043,.97055608
"11-3031.02",2019,.01758128,.99993366,.10395391,.004176917,.99527574,.00013705761,.99441069,.99983054,.0079742372,.99999779,.099280573,.0028478226,.99344075,.020281928,.95590454,1,.97113043,.97055608
"11-3051.00",2019,.31736174,.7496419,.013075978,.70779002,.9743889,.050000001,.99283671,.99315435,.25276133,.90787059,.014280682,.678195,.51371032,.50099999,.94463265,.9999997,.96750903,.96675605
"11-3051.01",2019,.49165654,.71403831,.019342497,.541619,.97363067,.021274764,.99283671,.99690795,.43956742,.88685864,.020586044,.50099999,.4919883,.3598009,.94463265,.99999994,.96750903,.96675605
"11-3051.02",2019,.046526045,.91236949,.76697582,.2542676,.94442564,.0889327,.25053343,.18941851,.02479722,.97933084,.71573645,.21572402,.092515901,.59929109,.050000001,.61135083,.96750903,.96675605
"11-3051.03",2019,.6105212,.7960273,.042321231,.24234781,.9798184,.85581881,.96856666,.16076501,.57724339,.93224877,.0427825,.20471291,.68183172,.95602745,.80131823,.50099999,.96750903,.96675605
"11-3051.04",2019,.46735534,.69029033,.042321231,.48743054,.95043367,.0076878131,.96856666,.99690795,.41223669,.87168062,.0427825,.44385698,.12642166,.22296079,.80131823,.99999994,.96750903,.96675605
"11-3051.06",2019,.1246692,.57287443,.65206921,.55080998,.95371491,.020744281,.25053343,.95840901,.08001563,.78175521,.59790051,.50962663,.15132253,.35593858,.050000001,.99998188,.96750903,.96675605
"11-3061.00",2019,.03515384,.99675417,.99968255,.00047181986,.000018513098,1.3266033e-06,.87804258,2.5060773e-11,.017857583,.99970335,.99935293,.00029536069,5.1187601e-19,.0010070419,.50099999,2.9803484e-23,.97453463,.97392142
"11-3071.01",2019,.015382799,.99870348,.083962291,.088502862,.9607079,.0301931,.97451562,.99983054,.0068307579,.99990684,.081239432,.069443807,.22655471,.41529125,.83225083,1,.90109932,.89929622
"11-3071.02",2019,.97325802,8.4496123e-06,.99997878,.79935777,.000018834664,.0037972459,.020671299,.050000001,.98058444,1.0020930e-06,.99994844,.77941924,5.3809950e-19,.15307587,.0037063609,.050000001,.90109932,.89929622
"11-3071.03",2019,.099243119,.58495671,.99944443,.040294975,.000029540111,2.9648999e-13,.67360026,.00060096523,.060832188,.79222369,.99890804,.03029722,1.9857534e-18,4.6739224e-08,.23174465,1.9714744e-06,.90109932,.89929622
"11-3111.00",2019,.11970434,.92670161,.9875859,.020200923,8.6412620e-06,2.6814337e-17,.87174112,.00060096523,.076189384,.98374403,.98020256,.014707577,5.6123429e-20,1.0832536e-10,.48619595,1.9714744e-06,.97891581,.97839582
"11-3121.00",2019,.11071949,.86730814,.99791169,.016486529,.000013912025,4.1885913e-09,.87804258,.00060096523,.069362566,.96344155,.99623764,.011896726,2.2343663e-19,.000023657325,.50099999,1.9714744e-06,.96155477,.96074528
"11-3131.00",2019,.032093812,.94590831,.99853158,.018221334,.000013912025,2.6814337e-17,.87804258,2.5060773e-11,.016055787,.98913878,.9972921,.013206084,2.2343663e-19,1.0832536e-10,.50099999,2.9803484e-23,.95784527,.95694202
"11-9013.01",2019,.39452329,.2801578,.50099999,.57588804,.97310472,.050000001,.25053343,.99690795,.33261874,.42968813,.45246086,.53604114,.47728848,.50099999,.050000001,.99999994,.72847301,.72543603
"11-9013.02",2019,.40807837,.22268912,.55080992,.60944217,.97669381,.050000001,.25053343,.99690795,.34715089,.33867803,.50099999,.57170933,.58305061,.50099999,.050000001,.99999994,.72847301,.72543603
"11-9013.03",2019,.96427691,.000010875788,.99994534,.87083155,.000024326462,6.5431050e-07,.020671299,.050000001,.97285366,1.3773471e-06,.99987513,.85919422,1.1304529e-18,.00063560437,.0037063609,.050000001,.72847301,.72543603
"11-9021.00",2019,.51703954,.044971567,.99976522,.079634324,.000029540111,4.4923119e-09,.36973083,.90009528,.46846265,.050000001,.9995119,.062095109,1.9857534e-18,.000024761439,.082791716,.99984574,.90210831,.90029508
"11-9031.00",2019,.61905056,.9698509,.016490053,.061711032,.95326507,.03286346,.99283671,.16076501,.58730066,.99493176,.017735897,.047433756,.14758173,.42920074,.94463265,.50099999,.74522442,.74319381
"11-9032.00",2019,.64488119,.98548198,.02098011,.024611881,.9528113,.95284867,.99283671,.16076501,.61783326,.998016,.022209566,.018078754,.14391974,.97971809,.94463265,.50099999,.74522442,.74319381
"11-9033.00",2019,.033539262,.99999207,.050000001,.00043061547,.97895563,.70310974,.99441069,.00038435229,.01690316,.99999982,.050000001,.00026861421,.65434414,.92276204,.95590454,7.1145149e-07,.74522442,.74319381
"11-9039.01",2019,.0083848387,.97248155,.99929947,.022467529,.000014942153,2.6814337e-17,.87804258,1,.0033874675,.99549538,.99864382,.016435698,2.7488990e-19,1.0832536e-10,.50099999,1,.74522442,.74319381
"11-9039.02",2019,.97825199,.00022269944,.97533613,.84298384,.000024326462,.000015376287,.67360026,.050000001,.98471189,.000061860745,.96261901,.82808292,1.1304529e-18,.0049515087,.23174465,.050000001,.74522442,.74319381
"11-9041.00",2019,.016209269,.99857014,.080017693,.094538249,.98081714,.032227583,.99283671,.99983054,.007257625,.99989462,.077654786,.074478164,.71349078,.42597967,.94463265,1,.9961645,.99604154
"11-9041.01",2019,.5345313,.67267138,.029335337,.49334988,.99674302,.0065275319,.99283671,.99690795,.48856026,.8597967,.030376071,.44993746,.99777013,.20491274,.94463265,.99999994,.9961645,.99604154
"11-9051.00",2019,.56870657,.60864747,.010457672,.6593622,.93148613,.050000001,.99283671,.16076501,.52820325,.81190985,.011590528,.62542099,.050662372,.50099999,.94463265,.50099999,.35660028,.35339496
"11-9061.00",2019,.46735534,.42095143,.74565923,.24234781,.9737668,.66818875,.25053343,.99690795,.41223669,.62344182,.69321376,.20471291,.49584353,.91488707,.050000001,.99999994,1,1
"11-9071.00",2019,.6105212,.87234157,.11199545,.097140089,.97516006,.98962474,.88853836,.16076501,.57724339,.96536428,.10648788,.076656513,.53639704,.99252534,.52440912,.50099999,.84652877,.84421366
"11-9081.00",2019,.57694364,.20716181,.65206921,.41913855,.9784891,.0081956759,.25053343,.16076501,.53782278,.31320295,.59790051,.37468079,.63950139,.23032509,.050000001,.50099999,.45834875,.45515543
"11-9111.00",2019,.10664901,.71585929,.99706334,.050000001,.000013912025,1.9708731e-13,.87804258,.00060096523,.066312164,.8879835,.99482799,.038006108,2.2343663e-19,3.5819077e-08,.50099999,1.9714744e-06,.94972456,.94866705
"11-9121.00",2019,.02961861,.9995814,.050000001,.022467529,.98123395,.99997157,.99283671,.00038435229,.014620858,.99997759,.050000001,.016435698,.72658628,.99983996,.94463265,7.1145149e-07,.97325015,.97266442
