onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2016,.0083848387,.99997461,.13026692,.0029077213,.64507967,.49577028,.62857634,1,.01287927,.99996603,.13191733,.0031728719,.84618795,.22878882,.99552387,1,.99744183,.99723816
"11-1011.03",2016,.0083848387,.94818902,.99968255,.0280749,.000021280659,.13716634,.0087897545,1,.01287927,.93843764,.99989361,.029860191,4.6521597e-14,.016768832,.00072495837,1,.99744183,.99723816
"11-1021.00",2016,.56870657,.34488082,.62714523,.28500402,.67285532,.9678477,.050000001,.60901666,.57837313,.31560811,.68926752,.29238969,.88673925,.98445064,.050000001,.088954292,.93997806,.93662721
"11-2011.00",2016,.016745282,.9995814,.14374733,.021295395,.4480471,.72452492,.62857634,.98181176,.024276357,.99946153,.14708498,.022725515,.35544881,.58106893,.99552387,.93196535,.89802045,.89359844
"11-2021.00",2016,.032796998,.99995041,.13026692,.0015171175,.41506872,.59189266,.62857634,.82470071,.044840716,.9999342,.13191733,.0016670099,.27309996,.35300604,.99552387,.31320393,.97281867,.97111702
"11-2022.00",2016,.029072899,.14612982,.99921471,.57030267,.000016125343,.39607805,.13740155,.29078478,.040178116,.13218874,.99970961,.57601631,2.1078982e-14,.13588852,.43034989,.014954916,.97281867,.97111702
"11-2031.00",2016,.031755969,.99973983,.09709546,.0092449272,.50262725,.84970677,.62857634,.82470071,.043542814,.99966305,.095232725,.0099611189,.50749677,.82153004,.99552387,.31320393,.9416436,.93839198
"11-3011.00",2016,.016293911,.99955595,.088116184,.030550919,.57115823,.78832763,.62857634,.98181176,.023676954,.99942929,.085498378,.032459714,.69376892,.70525044,.99552387,.93196535,.83681577,.82984734
"11-3021.00",2016,.055578478,.98052144,.0548345,.3347989,.61915594,.48666263,.62857634,.89202797,.072392471,.97637683,.050432097,.34230542,.80007899,.21886601,.99552387,.50099999,.98088145,.97947729
"11-3031.01",2016,.0083848387,.99920565,.99968255,.00047181986,.000016125343,.00027011245,.0087897545,1,.01287927,.99898756,.99989361,.00052488112,2.1078982e-14,7.7696205e-07,.00072495837,1,.96154749,.95948476
"11-3031.02",2016,.01758128,.99993366,.10395391,.004176917,.48169467,.45941755,.96208197,.98181176,.025382686,.99991238,.10273027,.0045400173,.44792882,.19097999,.99999332,.93196535,.96154749,.95948476
